Brume Wallet;https://f-droid.org/en/packages/eth.brume.wallet/index.html;Meet the only Ethereum wallet with maximum privacy and security;https://f-droid.org/repo/eth.brume.wallet_520.apk;This version requires Android 9.0 or newer.;https://github.com/brumewallet/wallet;https://github.com/brumewallet/wallet/issues;0.6.520;have full network access <-> eth.brume.wallet.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Groestlcoin Wallet TestNet;https://f-droid.org/en/packages/hashengineering.groestlcoin.wallet_test/index.html;Have your testnet Groestlcoins always with you in your pocket You pay by quickly scanninga QR code As a merchant you receive payments reliably and instantly GroestlcoinWallet is the first mobile testnet Groestlcoin app and arguably also the most secure No registration web service or cloud needed This wallet is decentralized and peer to peer Display of testnet Groestlcoin amount in GRS mGRS and AGRS Conversion to and from national currencies Sending and receiving of testnet Groestlcoin via NFC QR codes or Groestlcoin URLs Address book for regularly used testnet Groestlcoin addresses When youre offline you can still pay via Bluetooth System notification for received coins Sweeping of paper wallets eg those used for cold storage App widget for Groestlcoin balanceSee theREADME for more details Use this at your own risk and be wary that if youdont make a backup of the private keys you will no longer be able to access the testnetGroestlcoins contained in the wallet should the data of the app be lost;https://f-droid.org/repo/hashengineering.groestlcoin.wallet_test_100701.apk;This version requires Android 8.0 or newer.;https://github.com/Groestlcoin/groestlcoin-wallet;https://github.com/Groestlcoin/groestlcoin-wallet/issues;10.07.1;view network connections <-> pair with Bluetooth devices <-> connect to paired Bluetooth devices <-> take pictures and videos <-> run foreground service <-> have full network access <-> control Near Field Communication <-> show notifications <-> run at startup <-> ask to ignore battery optimizations <-> control vibration <-> prevent phone from sleeping <-> 
Groestlcoin Wallet;https://f-droid.org/en/packages/hashengineering.groestlcoin.wallet/index.html;Have your Groestlcoins always with you in your pocket You pay by quickly scanninga QR code As a merchant you receive payments reliably and instantly GroestlcoinWallet is the first mobile Groestlcoin app and arguably also the most secure No registration web service or cloud needed This wallet is decentralized and peer to peer Display of Groestlcoin amount in GRS mGRS and AGRS Conversion to and from national currencies Sending and receiving of Groestlcoin via NFC QR codes or Groestlcoin URLs Address book for regularly used Groestlcoin addresses When youre offline you can still pay via Bluetooth System notification for received coins Sweeping of paper wallets eg those used for cold storage App widget for Groestlcoin balanceSee theREADME for more details Use this at your own risk and be wary that if youdont make a backup of the private keys you will no longer be able to access theGroestlcoins contained in the wallet should the data of the app be lost;https://f-droid.org/repo/hashengineering.groestlcoin.wallet_100701.apk;This version requires Android 8.0 or newer.;https://github.com/Groestlcoin/groestlcoin-wallet;https://github.com/Groestlcoin/groestlcoin-wallet/issues;10.07.1;view network connections <-> pair with Bluetooth devices <-> connect to paired Bluetooth devices <-> take pictures and videos <-> run foreground service <-> have full network access <-> control Near Field Communication <-> show notifications <-> run at startup <-> ask to ignore battery optimizations <-> control vibration <-> prevent phone from sleeping <-> 
meteroid;https://f-droid.org/en/packages/de.chaosdorf.meteroid/index.html;Mete is a system to have donations prepaidYou can create an account and deposit money Later you can use your accountbalance to buy drinks and snacks;https://f-droid.org/repo/de.chaosdorf.meteroid_58.apk;This version requires Android 5.0 or newer.;https://github.com/chaosdorf/meteroid;https://github.com/chaosdorf/meteroid/issues;2.15.0;have full network access <-> control vibration <-> 
Minimalistic Price Converter;https://f-droid.org/en/packages/com.minimalisticapps.priceconverter/index.html;Convert prices of fiat shitcoins easily Minimalistic Just type No extra steps All prices are recalculated together It uses Bitcoin as the base currency BTC and Sats view;https://f-droid.org/repo/com.minimalisticapps.priceconverter_16.apk;This version requires Android 5.0 or newer.;https://github.com/Minimalistic-Apps/price-converter;https://github.com/Minimalistic-Apps/price-converter/issues;2.8.0;have full network access <-> com.minimalisticapps.priceconverter.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Pro Expense - Daily Finance Tracker;https://f-droid.org/en/packages/com.arduia.expense/index.html;Key FeaturesOffline StorageRecords are stored in local device storageStatisticsWeekly expenses are presented as simple GraphCategory StatisticsMultiLanguage support;https://f-droid.org/repo/com.arduia.expense_12.apk;This version requires Android 5.0 or newer.;https://github.com/arduia/ProExpense;https://github.com/arduia/ProExpense/issues;1.0.0-beta06;view network connections <-> run foreground service <-> have full network access <-> run at startup <-> prevent phone from sleeping <-> 
CoinTrend: Private Crypto Tracker;https://f-droid.org/en/packages/com.cointrend/index.html;Lightweight fast and private cryptocurrencies monitor No ads no subscriptions just coinsFeaturesa Market realtime updates of the Trending Coins the most searched coins in the last 24h and the Top Coins the top 250 cryptocurrencies by market capa Favourites track your favourite coins at a glance by adding them to the favourite list and sorting them as you wisha Search search over 10000 coins by name or symbola Settings choose the tracking configuration you need10000 realtime cryptocurrenciesCoinTrend is powered by the public CoinGecko API httpswwwcoingeckocomenapi to track over 10000 cryptocurrencies like Bitcoin BTC Ethereum ETH Bitcoin Cash BCH Ethereum Classic ETC Binance Coin BNB Cryptocom Cronos CRO Cardano ADA Solana SOL Monero XRM and many moreClear and detailed market dataPrice Percentage Gain Trend Chart MarketCap Trading Volume 24h Highest Price 24h Lowest Price 24h Available Supply Total Supply AllTime High Price ATH AllTime Low Price ATLLightweightCoinTrend stores coins data locally and updates them automatically only when needed thus minimising mobile data usage and battery consumption You can still manually trigger a data update whenever you need it by simply swiping down on each screen100 free and opensourceDont trust verify CoinTrend is 100 free and it does not include any ads nor trackers Its code is publicly available at httpsgithubcomCoinTrend Check it out yourself and dont hesitate to reach out if you have any suggestionsDesigned for AndroidThe User Interface has been designed following the latest Googles Material Design guidelines and using only native Android components and animations;https://f-droid.org/repo/com.cointrend_10301.apk;This version requires Android 6.0 or newer.;https://github.com/CoinTrend/CoinTrend;https://github.com/CoinTrend/CoinTrend/issues;1.3.1;have full network access <-> com.cointrend.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Specie;https://f-droid.org/en/packages/org.billthefarmer.specie/index.html;Simple currency conversion  Currency rates from Floatrates  150 international currencies  Currency rates updated daily  Last rate update retained for use offline  Multiple translations except all currency names  App widget to display selected currency;https://f-droid.org/repo/org.billthefarmer.specie_113.apk;This version requires Android 5.0 or newer.;https://github.com/billthefarmer/specie;https://github.com/billthefarmer/specie/issues;1.13;view network connections <-> have full network access <-> 
Currency;https://f-droid.org/en/packages/org.billthefarmer.currency/index.html;Simple currency conversion  Currency rates from the European Central Bank  32 international currencies  Currency rates updated daily  Last rate update retained for use offline  Historical currency rate charts  Ukrainian German Italian and French translation;https://f-droid.org/repo/org.billthefarmer.currency_156.apk;This version requires Android 5.0 or newer.;https://github.com/billthefarmer/currency;https://github.com/billthefarmer/currency/issues;1.56;view network connections <-> have full network access <-> 
Simple Bitcoin Wallet;https://f-droid.org/en/packages/com.btcontract.wallet/index.html;Simple Bitcoin Wallet aka SBW is an opensource noncustodial autonomous Bitcoin wallet for Android devices which can store BTC as well as send and receive Bitcoin transactions;https://f-droid.org/repo/com.btcontract.wallet_109.apk;This version requires Android 5.0 or newer.;https://github.com/akumaigorodski/wallet;https://github.com/akumaigorodski/wallet/issues;2.5.8;take pictures and videos <-> have full network access <-> run at startup <-> control vibration <-> 
Ladefuchs;https://f-droid.org/en/packages/app.ladefuchs.android/index.html;HOW MUCH IS THE ELECTRICITY FOR YOUR EV CARFind the cheapest charging plan fast as lightningWith just one finger swipe Ladefuchs shows you the cheapest charging plan at the charging pointNot more not lessThanks to chargepriceapp the data is always up to dateThe app is free However the little Ladefuchs Chargefox is always happy like a young badger about food donationsHe always cheeps a bit thenThe app is targeted to the German EV charging market and in German language only currentlyWho is actually to blame Malik  Flowinho of audiodumpde Bastian aSchlingela WAlfle of bitsundsode Dominic Wrege Thorsten Roesler Illu Aga und MarcelAndrAIdeas BugsPlese send to androidladefuchsappIf you have suggestions for foot note texts let us know at httpsladefuchsappfussnoteAntiFeatures NonFree Network Services  The app accesses an own API server which in turn retrieves data from chargepriceappPermissions INTERNET  Acces to own API server ACCESSNETWORKSTATE  Check whether internet connectivity is available before trying to access the API server;https://f-droid.org/repo/app.ladefuchs.android_207.apk;This version requires Android 9.0 or newer.;https://github.com/Team-Ladefuchs/ladefuchs-android;https://github.com/Team-Ladefuchs/ladefuchs-android/issues;2.0.7;view network connections <-> have full network access <-> app.ladefuchs.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Finance Manager (PFA);https://f-droid.org/en/packages/org.secuso.privacyfriendlyfinancemanager/index.html;The privacy friendly Finance Manager helps you keep track of your income and expensesThe app offers the following features New transactionsYou can create new expenses by clicking on the PlusButton in the bottom right corner in the main view Now you can enter the amount a title a date and a category Furthermore you can specify if the transaction is an expense or income Transaction overviewIn the main view you are able to see the total balance of your transactions as well as a list with all transactions you entered By longclicking on the entry you can either edit or delete the transaction CategoriesUnder the menu item aCategoriesa you can see all the categories you created and their total balances depending on the transactions that are labelled with the respective category By clicking on the PlusButton in the bottom right corner you can create new Categories By longclicking on the entry you can either edit or delete the category BackupsYou can create a backup of your privacyfriendlyfinancemanager database and restore it later with privacyfriendlybackupYou can reach us viaTwitter  SECUSOResearch httpstwittercomsecusoresearchMastodon  SECUSOResearchbawA14social httpsxnbawjoasocialSECUSOResearchJob opening  httpssecusoaifbkiteduenglishJobOffers1557php;https://f-droid.org/repo/org.secuso.privacyfriendlyfinancemanager_7.apk;This version requires Android 5.0 or newer.;https://github.com/SecUSo/privacy-friendly-finance-manager;https://github.com/SecUSo/privacy-friendly-finance-manager/issues;2.3.0;
Mobile Paper Wallet;https://f-droid.org/en/packages/com.gitlab.uak.mobile_paper_wallet/index.html;A single use wallet application that allows you to generate bitcoin private key and address so you can receive cryptocurrencies and then transfer it out by scanning the QR code by another mobileIts built using Python and Kivy framework It supports few coins like Bitcoin Bitcoin Cash and their testnet version Also supports Ergon and can easily support coins that are using the cashaddress formatApp keeps historical list of generated address key pairs that could be exported;https://f-droid.org/repo/com.gitlab.uak.mobile_paper_wallet_102110401.apk;This version requires Android 5.0 or newer.;https://gitlab.com/uak/mobile-paper-wallet;https://gitlab.com/uak/mobile-paper-wallet/-/issues;1.4.1;
STARGW FX;https://f-droid.org/en/packages/net.stargw.fx/index.html;A free simple Foreign Exchange Rate Currency app Clean interface free rates and no advertsSet Exchange rate Notifications and get alerts5 styles of widgets to chose from Get 24hour rates FREE from the ECB or sign up for a FREE Open Exchange Rate account and receive hourly rates from more currencies;https://f-droid.org/repo/net.stargw.fx_13.apk;This version requires Android 7.0 or newer.;https://github.com/StarGW-net/stargw-fx;https://github.com/StarGW-net/stargw-fx/issues;13;have full network access <-> run at startup <-> 
Candle;https://f-droid.org/en/packages/com.cosmos.candle/index.html;Realtime stock market watcher;https://f-droid.org/repo/com.cosmos.candle_10.apk;This version requires Android 6.0 or newer.;https://gitlab.com/cosmosapps/candle;https://gitlab.com/cosmosapps/candle/issues;0.2.3;have full network access <-> com.cosmos.candle.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Open Bitcoin Wallet;https://f-droid.org/en/packages/wtf.nbd.obw/index.html;NOTE App repo is archived by dev It is readonly for all users and it is no longer activelyA maintainedOpen Bitcoin Wallet OBW is an opensource noncustodial fully autonomous Bitcoin wallet for Android with advanced onchain features fully custom and advanced Lightning channel management extensive LNURL support support for Hosted Channels for immediately receiving Lightning payments with no hassle among other experimental features;https://f-droid.org/repo/wtf.nbd.obw_12.apk;This version requires Android 8.0 or newer.;https://github.com/nbd-wtf/obw;https://github.com/nbd-wtf/obw/issues;0.2.1;view network connections <-> take pictures and videos <-> run foreground service <-> have full network access <-> control Near Field Communication <-> read the contents of your shared storage <-> run at startup <-> use fingerprint hardware <-> control vibration <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> 
Haircomb;https://f-droid.org/en/packages/org.bitbucket.watashi564.combapp/index.html;Haircomb is a crypto currency token which runs on the bitcoin blockchain and claims to be quantum resistantIt was founded in 2019 and was enhanced ever since This is a full featured package containingHaircomb Core  the reference implementation of the consensus including a currency walletComb Downloader  Used to fully synchronize Haircomb Core with the Bitcoin blockchainFeatures of the Haircomb CoreStealth addresses allowing virtually unlimited receiving addresses for your key pairLiquidity stacks to pay to any number of recipients each time you transactMerkle contracts  offer advanced use cases like a comb trade amount decided later payment and auctionTestnet  to experiment with tokens that have no value requires sync with the bitcoin testnetLow memory mode  reduced RAM usage the wallet starts more slowly in this modeFeatures of the Comb DownloaderAccelerator sync synchronizes you faster to the accelerator recommended by another user;https://f-droid.org/repo/org.bitbucket.watashi564.combapp_4.apk;This version requires Android 4.4 or newer.;https://bitbucket.org/watashi564/combapp;https://bitbucket.org/watashi564/combapp/issues;0.0.4;view network connections <-> run foreground service <-> have full network access <-> read the contents of your shared storage <-> run at startup <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> 
Money Tracker;https://f-droid.org/en/packages/com.blogspot.e_kanivets.moneytracker/index.html;Do you want to save some money or just to know where is your money come from and to Then this app is for you You can manage you incomes and expenses in two clicks then take a report in two clicks moreFollowing features are available in current version Manage expensesincomes Create reports for period Manage accounts with different currencies Transfer money between accounts Manage exchange rates between currencies Quick summaries Charts CSV exportimport Dropbox backups;https://f-droid.org/repo/com.blogspot.e_kanivets.moneytracker_38.apk;This version requires Android 5.0 or newer.;https://github.com/xorum-io/open_money_tracker;https://github.com/xorum-io/open_money_tracker/issues;2.2.0;have full network access <-> 
Calculator-inator;https://f-droid.org/en/packages/com.inator.calculator/index.html;Calculatorinator is a Calculator  Converter for Android inspired from Googles Calculator AppThe app features Basic  Advanced Calculator with logarithmic and trigonometric functions Length Area Mass Speed Pressure Data Volume Time Temperature Angle Live Currency Converter;https://f-droid.org/repo/com.inator.calculator_7.apk;This version requires Android 5.0 or newer.;https://github.com/prathameshmm02/calculator-inator;https://github.com/prathameshmm02/calculator-inator/issues;1.3.0;have full network access <-> com.inator.calculator.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Sushi - Personal Finance;https://f-droid.org/en/packages/com.jerameeldelosreyes.sushi/index.html;An open source mobile application to help you easily manage multiple wallets and record transactionsFrom expenses like Groceries Online Shopping Subscriptions for your savings and income and even wallet transfers you can list them on SushiManage your personal finances with Sushi;https://f-droid.org/repo/com.jerameeldelosreyes.sushi_15.apk;This version requires Android 5.0 or newer.;https://github.com/jerameel/sushi;https://github.com/jerameel/sushi/issues;1.15;view network connections <-> view Wi-Fi connections <-> have full network access <-> read the contents of your shared storage <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> com.android.vending.CHECK_LICENSE <-> 
Euro konverter;https://f-droid.org/en/packages/com.eurokonverter/index.html;Calculator for converting Croatian kunas into euros and vice versa at a fixed exchange rate of a1  HRK 753450As well calculating change in euros for cash and price given in kunasThe app doesnt require internet access;https://f-droid.org/repo/com.eurokonverter_8.apk;This version requires Android 4.0.3 or newer.;https://github.com/vbresan/eurokonverter;https://github.com/vbresan/eurokonverter/issues;2.0.3;
Precio Luz;https://f-droid.org/en/packages/com.pvpc.precio_luz/index.html;Detailed information by hours on the price of electricity in Spain PVPC for efficient management of electricity consumptionThis App offers general and detailed information on the price of electricity PVPC and the cheapest and most expensive hours throughout a day to facilitate the adjustment of consumption habits by seeking savings in the electricity billIn short this App tries to help manage electricity consumption more efficientlyThe App has been adapted to the new electricity tariff system that has been applied since June 1 2021 One of the main changes introduced by the regulations is that all the customers covered by the PVPC are grouped under the same toll rate called 20 TD which replaces the previous three the default rate 20 A the night rate 20 DHA and the electric vehicle rate 20 DHSThis new 20 TD rate has a time discrimination in three periods peak flat and valley that are defined according to the day of the week the time of day and the geographical territory different for Ceuta and MelillaThe App includes a tool that calculates and orders the cheapest time bands of the day average prices for a certain interval of time For example it is useful to know the best time of day to run the washer and dryer consecutively;https://f-droid.org/repo/com.pvpc.precio_luz_26.apk;This version requires Android 4.1 or newer.;https://github.com/Webierta/precio-luz;https://github.com/Webierta/precio-luz/issues;2.4.3;have full network access <-> 
Debitum;https://f-droid.org/en/packages/org.ebur.debitum/index.html;With Debitum you can track all kinds of IOUs be it money or lent items This way you will never more forget if your friend already gave you back that book or dispute about how much you owe your colleague for coffeeThe intended use case is to manage smaller personal debts and lent items To keep things simple things like interest deadlines fees etc will not be an integral part of the app though the description could somehow be used for that but I would generally recommend to use more specialised apps for thisYou can backup and restore the database where persons and transactions are storedThere is no online service whatsoever involved so your data is saved on your device only as far as this app is concernedKeywords IOU debt lend;https://f-droid.org/repo/org.ebur.debitum_23.apk;This version requires Android 7.0 or newer.;https://github.com/marmo/debitum;https://github.com/marmo/debitum/issues;1.7.2;read your contacts <-> 
TkTon Wallet;https://f-droid.org/en/packages/com.tkton.wallet/index.html;TkTon Wallet is a wallet for TON The Open Network blockchainMain features Multiple wallets support Possibility to check any address on network Possibility to check transactions of any address on network Material Design Uses liteclient with Merkle proofs without HTTP REST proxy server;https://f-droid.org/repo/com.tkton.wallet_120.apk;This version requires Android 8.0 or newer.;https://github.com/kazei92/TkTonWallet;https://github.com/kazei92/TkTonWallet/issues;1.2;view network connections <-> have full network access <-> com.tkton.wallet.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
TripleCamel;https://f-droid.org/en/packages/com.ebaschiera.triplecamel/index.html;Checks for product price history using the CamelCamelCamel website You can also set a notification for when the pricegets lower You just have to share a product from the Amazon app and chooseTriple Camel as the sharing app from the list;https://f-droid.org/repo/com.ebaschiera.triplecamel_17.apk;This version requires Android 4.0 or newer.;https://github.com/ebaschiera/TripleCamel;https://github.com/ebaschiera/TripleCamel/issues;1.0.16;view network connections <-> have full network access <-> 
Ministocks;https://f-droid.org/en/packages/nitezh.ministock/index.html;Ministocks uses finance data sourced from Yahoo Finance and recognises the samesymbolsThe Ministocks stocks widget has the following features Four widget sizes available Add unlimited widgets Stock symbol search Price change  daily and against buy price Profit and loss  current valuation and total gain High price and low price alerts Foreign exchange prices Data sourced from Yahoo Finance Foreign exchange daily changes Custom update schedule;https://f-droid.org/repo/nitezh.ministock_81.apk;This version requires Android 6.0 or newer.;https://github.com/niteshpatel/ministocks;https://github.com/niteshpatel/ministocks/issues;81;have full network access <-> 
Pizza Cost;https://f-droid.org/en/packages/de.drhoffmannsoft.pizza/index.html;Calculate which pizza is the best offer based on diameter and price Usegestures to adjust price and diameter of three pizzas small medium large tocompare The winner will change color turn green;https://f-droid.org/repo/de.drhoffmannsoft.pizza_12.apk;This version requires Android 2.2 or newer.;https://codeberg.org/kollo/PizzaCostCalculator;https://codeberg.org/kollo/PizzaCostCalculator/issues;1.05-12;
Money Logs;https://f-droid.org/en/packages/com.kazispin.money_logs/index.html;Financial Record Manager AppUser can record manage import export their financial income and expensesAttention This app use Currency rate from openerapicom for currency change function;https://f-droid.org/repo/com.kazispin.money_logs_2.apk;This version requires Android 4.1 or newer.;https://gitlab.com/kazispintechub/money-logs;https://gitlab.com/kazispintechub/money-logs/issues;1.0.1;have full network access <-> read the contents of your shared storage <-> modify or delete the contents of your shared storage <-> 
Seshat;https://f-droid.org/en/packages/org.biotstoiq.seshat/index.html;NOTE App repo is archived by dev It is readonly for all users and it is no longer activelyA maintainedA minimalist loggertrackerjournalseshat is a simple and minimalist loggerjournal which can keep track ofnumerical valuesseshat can be used a wide range of purposesto learn more about the software and its usages please check outhttpsbiotstoiqgitlabiosoftwareseshatfeatures suckless in nature lightweight no adsantifeatures completely opensource completely hackable since the codebase is small designed with usability and efficiency in mind rather than convenienceand eyecandynessrationale for the lack of notificationnotificationbar can be read herehttpsroidujeugitlabioblogwhynotificationsarebadhtmlin a pool full of bloated software please give this a try and spread the wordwebsite httpsbiotstoiqgitlabiosource httpsbiotstoiqgitlabiosourcemade by biotstoiq with love;https://f-droid.org/repo/org.biotstoiq.seshat_11.apk;This version requires Android 5.0 or newer.;https://gitlab.com/biotstoiq/seshat;https://gitlab.com/biotstoiq/seshat/-/issues;0.91;
dahliaOS Calculator;https://f-droid.org/en/packages/io.dahliaos.calculator/index.html;dahliaOS Calculator is a system app for dahliaOS and a basic arithmetic calculator It supports the basic four operations as well as pi the number e sincostan and more;https://f-droid.org/repo/io.dahliaos.calculator_21.apk;This version requires Android 4.1 or newer.;https://github.com/dahliaOS/calculator;https://github.com/dahliaOS/calculator/issues;1.2.1;
Crypto Prices;https://f-droid.org/en/packages/de.cloneapps.crypto_prices/index.html;Crypto Prices lets you track prices of all cryptocurrencies like Bitcoin Ethereum XRP and Litecoin You can also view detailed information about every coin like price history market cap and volumeSupports over 10000 CryptocurrenciesView prices of coins and tokens like Bitcoin BTC Ethereum ETH Bitcoin Cash BCH Ethereum Classic ETC Litecoin LTC Dogecoin DOGE Stellar XLM Tron TRX and many moreDetailed StatisticsGet statistics to every coin like market cap volume 24HHigh and Low and an interactive price chart over different time periodsYour FavoritesSet coins as favorites to track all prices of your crypto portfolio Sort favorites in any order you like to view prices even fasterYour PortfoliosAdd coins from all your real or imaginary crypto portfolios and watch their value changeThis is NOT a crypto wallet All added coins are imaginaryPrice alertsCreate your own alerts for all coins and get notified of large price changes of your favoritesQuick SearchSearch through all available coins by name or symbol56 Supported Fiat CurrenciesUS Dollar USD Euro EUR British Pound GBP Australian Dollar AUD Canadian Dollar CAD Swiss Franc CHF Chinese Yuan CNY Japanese Yen JPY New Zealand Dollar NZD and Russian Ruble RUB and moreFeature Overviewa List of all cryptocurrencies a Sort coins by marketcap volume etca Add coins as favoritesa Sort favorites in custom ordera View detailed statistics and price historya Imaginary portfoliosa Create price alerts for coinsa Get notification on large price movementsa Change the currency of the prices showna Password locka Searcha Dark mode and color customizationFree and Open sourceCrypto Prices is open source and licensed under GPLv3 The source code is available here httpsgitlabcomcl0n30cryptoprices;https://f-droid.org/repo/de.cloneapps.crypto_prices_36.apk;This version requires Android 6.0 or newer.;https://gitlab.com/cl0n30/cryptoprices;https://gitlab.com/cl0n30/cryptoprices/-/issues;1.4.1;view network connections <-> take pictures and videos <-> run foreground service <-> have full network access <-> read the contents of your shared storage <-> run at startup <-> Schedule precisely timed actions <-> use biometric hardware <-> use fingerprint hardware <-> display notifications as full screen activities on a locked device <-> control vibration <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> 
Simple Random Stock;https://f-droid.org/en/packages/com.willchan.simple_random_stock/index.html;Have you ever been asked the following question from friends family members coworkers or strangers on the street  What stock to buyOr maybe you want to test your memorization skill and see which stock belongs to which US indexesOr maybe after all these technical and fundamental analysis Youve reached to a conclusion that youll randomly throw a dart at a list of stocks and buy from there Well have no fear as this application was built to address those issues Simply click on one of US index and youll be rewarded a random stock The history tab will keep a history of all the random stocks youve been rewardedDownload the app and give it a try Good LuckIf you find any bugs or areas of improvement dont hesitate to shoot me an email for I am constantly developing my software skills If you do find a bug please inform me what android device and version you are running and what were the steps involved to recreate the problem Thank youI will continue making modifications andor adding features on this app as time passes to include some opensource projects that I might find useful to the app So stay tunedDisclaimerSimple Random Stock is for fun and educational purposes only This application should not be viewed as financial advice or stock recommendation to buy sell or hold any security or investment Investors should be cautious about any and all stock recommendations Please consult with a professional financial adviser before making any financial decisions;https://f-droid.org/repo/com.willchan.simple_random_stock_3.apk;This version requires Android 4.1 or newer.;https://github.com/WillWcchan/Simple-Random-Stock;https://github.com/WillWcchan/Simple-Random-Stock/issues;1.2.0;
Firefly III Mobile;https://f-droid.org/en/packages/xyz.hisname.fireflyiii/index.html;Unofficial mobile client for Firefly III a personal finances manager;https://f-droid.org/repo/xyz.hisname.fireflyiii_112.apk;This version requires Android 6.0 or newer.;https://github.com/emansih/FireflyMobile;https://github.com/emansih/FireflyMobile/issues;5.0.7;access precise location only in the foreground <-> view network connections <-> android.permission.AUTHENTICATE_ACCOUNTS <-> run foreground service <-> have full network access <-> run at startup <-> use biometric hardware <-> use fingerprint hardware <-> control vibration <-> prevent phone from sleeping <-> install shortcuts <-> 
Voucher Vault;https://f-droid.org/en/packages/co.timsmart.vouchervault/index.html;Voucher Vault helps you keep track of all your vouchers gift cards andloyalty cardsFeatures include Supports several types of barcodes including plain text Keep track of expiry dates Keep track of gift card balances Assign each voucher a different color;https://f-droid.org/repo/co.timsmart.vouchervault_29.apk;This version requires Android 5.1 or newer.;https://github.com/tim-smart/vouchervault;https://github.com/tim-smart/vouchervault/issues;1.1.11;take pictures and videos <-> read the contents of your shared storage <-> use biometric hardware <-> use fingerprint hardware <-> prevent phone from sleeping <-> 
YARC;https://f-droid.org/en/packages/com.jstephan.yarc/index.html;YARC  Yet Another Rate converterYARC allows you to select the rate converter service you wantFor now the app supports 2 services more to come  Exchange Rate Api free service usable without any configuration but with a limited number of currencies Fixer IO sign up required on their website free or paid account with almost all official currenciesYARC has been designed to easily add new rate converter services Cyptocurrencies support will arrive;https://f-droid.org/repo/com.jstephan.yarc_5.apk;This version requires Android 5.0 or newer.;https://framagit.org/stephjul/yarc;https://framagit.org/stephjul/yarc/issues;1.2;view network connections <-> have full network access <-> 
MoneyWallet;https://f-droid.org/en/packages/com.oriondev.moneywallet/index.html;MoneyWallet is an advanced expense manager that allows you to track yourexpenses and plan budgets You can organize your data using customcategories events places and people tags The user interface is inmaterial design clear simple and extremely customizable It fits on alldevices Its simply your best expense manager;https://f-droid.org/repo/com.oriondev.moneywallet_75.apk;This version requires Android 5.0 or newer.;https://github.com/AndreAle94/moneywallet;https://github.com/AndreAle94/moneywallet/issues;4.0.5.10;view network connections <-> run foreground service <-> have full network access <-> read the contents of your shared storage <-> run at startup <-> use fingerprint hardware <-> control vibration <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> 
WallETH;https://f-droid.org/en/packages/org.walleth/index.html;Ethereum wallet Networks main ropsten rinkeby kovanFeatures TokensERC20 ERC67  ERC681 URLs ERC55 Checksums TREZORSupport via USBOTG  model 1 and model T watch only accounts offlinesigning JSON UTC key importexport display value in fiat like EUR NZD USD or MakerDAO DAI display function  a;https://f-droid.org/repo/org.walleth_514.apk;This version requires Android 4.1 or newer.;https://github.com/walleth/walleth;https://github.com/walleth/walleth/issues;0.51.4;view network connections <-> take pictures and videos <-> run foreground service <-> have full network access <-> control Near Field Communication <-> run at startup <-> prevent phone from sleeping <-> 
