Dib2Calc;https://f-droid.org/en/packages/com.gitlab.dibdib.dib2calc/index.html;Dib2Calc aka Dibdib CalculatorThe crazy calculator Once you get used to it you will love it A short introduction is provided when you start it for the first timeYour data is protected encrypted if you use your own access code and password In case you have a lot of data make sure to save it to the devices Download area via the SAVTO functionSee httpsgitlabcomdibdibdib2calc for more information andhttpsgitlabcomdibdibdib2calcblobmasterknownissuesmd forknown issues;https://f-droid.org/repo/com.gitlab.dibdib.dib2calc_2426.apk;This version requires Android 5.0 or newer.;https://gitlab.com/dibdib/dib2calc/tree/HEAD;https://gitlab.com/dibdib/dib2calc/issues;0.24.26;view network connections <-> run foreground service <-> read the contents of your shared storage <-> run at startup <-> android.permission.SET_ALARM <-> display notifications as full screen activities on a locked device <-> control vibration <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> 
Blitzortung Lightning Monitor;https://f-droid.org/en/packages/org.blitzortung.android.app/index.html;Simple to use map based application visualizing real time full area lightning data provided by the blitzortungorg lightning location network project The current thunderstorm situation at your fingertipsFeatures realtime display of lightning data display of historical lightning data of the last 24 hours for regions Europe North  South America Asia Africa and AustraliaNew Zealand lightning strike time color coded reduced data volume and fast response current lightning strike time and lightning count optional user location marker alert function shows distancedirection of storms background service for alerts support for notifications sound and vibration alarm single stroke display for blitzortungorg participantsPlease visit httpswwwblitzortungorg for more information regarding the community based lightning location projectThe raster display ensures a fast performance of the application even if there is a very high thunderstorm activity Blitzortungorg participants can visualize all stroke locations individuallyIf you would like to contribute to a translation of the software in your language please do not hesitate to contact the author of the software;https://f-droid.org/repo/org.blitzortung.android.app_321.apk;This version requires Android 5.0 or newer.;https://github.com/wuan/bo-android;https://github.com/wuan/bo-android/issues;2.2.4;access location in the background <-> access approximate location only in the foreground <-> access precise location only in the foreground <-> view network connections <-> run foreground service <-> run foreground service with the type "dataSync" <-> have full network access <-> show notifications <-> run at startup <-> ask to ignore battery optimizations <-> control vibration <-> prevent phone from sleeping <-> org.blitzortung.android.app.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Really Basic Vocab;https://f-droid.org/en/packages/de.herrmann_engel.rbv/index.html; Simple app to manage your flashcardsi  App structure filing boxes  decks  flashcardsi  Filing boxes can be exported as and imported from a backup individually or alli  The decks of a filing box contain the flashcards You may use four color variants for filing boxes and decks Flashcard values front back notes optional and progress integeri  You may activate flashcard formatting in the app settings You may link files to flashcardsi  You may add tags to flashcards i  You may print flashcardsai  From each flashcard list you may enter a query mode Flashcard lists for the entire collection as well as single filing boxes or decks are available Using the aadvanced querya option you may generate lists of all or some decks by tags progress and  or last repetitiona Please backup your content on a regular basis;https://f-droid.org/repo/de.herrmann_engel.rbv_76.apk;This version requires Android 7.1 or newer.;https://github.com/jonathanherrmannengel/vocabapp;https://github.com/jonathanherrmannengel/vocabapp/issues;3.4.3;de.herrmann_engel.rbv.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
DetermApp;https://f-droid.org/en/packages/de.determapp.android/index.html;DetermApp allows you to use identification keys streamed from the web or from local files Additionally the DetermApp tools currently only available in german allow creating identification keys at a PC Windows or Linux It is possible to send identification keys to this Apps from the DetermApp tools using your home networkYou can use the content from any server This server must serve content as described at httpsgitlabcomdetermappdetermappandroidblobmasterpackage20sourcesmd However the only known server for this is determappde This server only provides some and only german contentA identification key is something which based on questions and the answers you provide tell you which animal you described;https://f-droid.org/repo/de.determapp.android_9.apk;This version requires Android 5.0 or newer.;https://gitlab.com/determapp/determapp-android/tree/HEAD;https://gitlab.com/determapp/determapp-android/issues;1.4.2;view network connections <-> run foreground service <-> have full network access <-> show notifications <-> read the contents of your shared storage <-> run at startup <-> android.permission.RUN_USER_INITIATED_JOBS <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> de.determapp.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Bible Verse App;https://f-droid.org/en/packages/ch.joshuah.bibleverseapp/index.html;The Bible Verse app offers daily inspirational Bible verses in different languages With handy features like home screen widgets notifications and sharing you can make your faith come alive and be inspired by Gods Word every dayPowered by BibleGatewaycomThe app is opensource and published on Github I created it as part of my degree in the Mobile  GUI engineering module Link to the code httpsgithubcomjoshuabeny1999BibleVerseApp;https://f-droid.org/repo/ch.joshuah.bibleverseapp_4.apk;This version requires Android 8.0 or newer.;https://github.com/joshuabeny1999/BibleVerseApp;https://github.com/joshuabeny1999/BibleVerseApp/issues;1.2;have full network access <-> show notifications <-> Schedule alarms or event reminders <-> ch.joshuah.bibleverseapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
GPTMobile;https://f-droid.org/en/packages/dev.chungjungsoo.gptmobile/index.html;This is an Material3 style chat app that supports answers from multiple LLMs at onceSupported Platforms OpenAI GPT GPT4o turbo etc Anthropic Claude 35 Sonnet 3 Opus etc Google Gemini 15 Pro Flash etcLocal chat historyChat history is only saved locally The app only sends to official API servers while chatting NOT SHARED anywhere elseNote that some platforms may not be supported in some countries;https://f-droid.org/repo/dev.chungjungsoo.gptmobile_7.apk;This version requires Android 9.0 or newer.;https://github.com/Taewan-P/gpt_mobile;https://github.com/Taewan-P/gpt_mobile/issues;0.4.1;have full network access <-> dev.chungjungsoo.gptmobile.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
CEToolbox;https://f-droid.org/en/packages/com.github.cetoolbox/index.html;The CEToolbox project aims to provide a convenient tool for computing CapillaryElectrophoresis parameters;https://f-droid.org/repo/com.github.cetoolbox_16.apk;This version requires Android 5.0 or newer.;https://github.com/cetoolbox/cetoolbox;https://github.com/cetoolbox/cetoolbox/issues;1.6.0;
PSLab;https://f-droid.org/en/packages/io.pslab/index.html;;https://f-droid.org/repo/io.pslab_60.apk;This version requires Android 7.0 or newer.;https://github.com/fossasia/pslab-android;https://github.com/fossasia/pslab-android/issues;3.1.36;access approximate location only in the foreground <-> access precise location only in the foreground <-> pair with Bluetooth devices <-> access Bluetooth settings <-> access sensor data at a high sampling rate <-> have full network access <-> read the contents of your shared storage <-> record audio <-> modify or delete the contents of your shared storage <-> io.pslab.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Translate You;https://f-droid.org/en/packages/com.bnyro.translate/index.html;Translate You is a Translator App built with Material Design 3 YouIt supports multiple different translation engiens such as LibreTranslate Lingva DeepL and moreIn total there are more than 200 supported languages across 6 different translation engines;https://f-droid.org/repo/com.bnyro.translate_41.apk;This version requires Android 5.0 or newer.;https://github.com/you-apps/TranslateYou;https://github.com/you-apps/TranslateYou/issues;10.0;have full network access <-> record audio <-> com.bnyro.translate.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Parti;https://f-droid.org/en/packages/io.gitlab.carsten_scholtes.parti/index.html;Parts are usually specified in the form of fractions as divident  divisorWith different parts using different divisors it is difficult to compare the sizes of the partsThe main gist of Parti is to determine the least common multiple lcm of all different divisorsThe different parts can be expressed using the lcm as common divisor making the parts easily comparableDivisors are represented and processed as BigInts in order to provide exact resultsBigInts are designed to store whole values of arbitrary size as long as enough memory is availableGeneral Usage     After entering a divisor in the central editor widget    it can be added  removed with the button to the right of the input field    The list of divisors in the bottom section is changed accordingly    Also lcm and gcd in the top section are updated to reflect the new list of divisors      Tapping a value in the list puts the value into the editing widget    Dragging a list value to the left removes it from the list and puts it into the editor widget    Dragging a list value to the right removes it without changing the editor widget      In the top bar a button for clearing the whole list is available    There are also buttons for undoing and redoing any changes of the current session      The value of the gcd can be changed deliberately    with any change modifying the list of divisors accordingly    Tapping the value of the gcd opens a requester to replace the gcd with an arbitrary whole number    There is a button to set it to 1 or to the value it had before it was set to 1    Further buttons increase or decrease the gcd by 1;https://f-droid.org/repo/io.gitlab.carsten_scholtes.parti_104.apk;This version requires Android 4.4 or newer.;https://gitlab.com/carsten_scholtes/parti;https://gitlab.com/carsten_scholtes/parti/issues;1.0.0;
