before;after;filename;info;rating1;rating2
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-26-30_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-26-30_after.png;2021-11-09 13-26-30;fragmento de mensagem desaparece;Fragmento;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-28-28_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-28-28_after.png;2021-11-09 13-28-28;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-30-09_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-30-09_after.png;2021-11-09 13-30-09;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-31-16_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-31-16_after.png;2021-11-09 13-31-16;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-32-30_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-32-30_after.png;2021-11-09 13-32-30;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-34-11_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-34-11_after.png;2021-11-09 13-34-11;fragmento encontrar estação desaparece;Fragmento;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-36-14_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-36-14_after.png;2021-11-09 13-36-14;mensagem toast;Toast;False Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-37-31_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-37-31_after.png;2021-11-09 13-37-31;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-37-54_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-37-54_after.png;2021-11-09 13-37-54;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-39-34_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-39-34_after.png;2021-11-09 13-39-34;fragmento encontrar estação desaparece;Fragmento;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-41-07_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-41-07_after.png;2021-11-09 13-41-07;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-42-41_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-42-41_after.png;2021-11-09 13-42-41;fragmento encontrar estação desaparece;Fragmento;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-43-04_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-43-04_after.png;2021-11-09 13-43-04;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-44-04_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-44-04_after.png;2021-11-09 13-44-04;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-44-19_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-44-19_after.png;2021-11-09 13-44-19;fragmento encontrar estação desaparece;Fragmento;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-46-13_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-46-13_after.png;2021-11-09 13-46-13;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-47-50_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-47-50_after.png;2021-11-09 13-47-50;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-49-26_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-49-26_after.png;2021-11-09 13-49-26;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-53-42_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-53-42_after.png;2021-11-09 13-53-42;fragmento encontrar estação desaparece;Fragmento;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-54-26_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-54-26_after.png;2021-11-09 13-54-26;alterou algumas propriedades;Propriedades;True Positive
